Barcode ,Recorder,Forestry ruler (mm),Forensics ruler (mm),Microscope slide ruler (mm),Builder ruler 1.5 (mm),Builder ruler 3.5 (mm),Microscope redicule (0.8x),Microscope redicule (1x),notes
UCSB-IZC00005866,AW,2.563,2.458,2.587,2.566,2.568,1.9,2.375,
UCSB-IZC00009088,AW,6.619,6.91,6.925,6.841,6.531,5.3,6.625,
UCSB-IZC00009810,AW,6.008,5.959,6.01,6.154,5.666,4.6,5.75,
UCSB-IZC00009824,AW,6.616,6.652,6.73,6.823,6.785,4.5,5.625,
UCSB-IZC00010359,AW,3.656,3.72,3.523,3.543,3.567,2.3,2.875,
UCSB-IZC00015111,AW,2.374,2.418,2.432,2.601,2.498,2.1,2.625,
UCSB-IZC00015129,AW,8.203,8.144,8.02,8.344,8.396,6,7.5,
UCSB-IZC00021945,AW,1.172,1.118,1.171,1.152,1.178,0.9,1.125,
UCSB-IZC00028289,AW,1.63,1.723,1.596,1.766,1.676,1.3,1.625,
UCSB-IZC00028380,AW,2.781,2.624,2.618,2.618,2.638,2.2,2.75,
UCSB-IZC00028511,AW,2.788,2.729,2.714,2.836,2.703,2.2,2.75,
UCSB-IZC00030069,AW,0.777,0.789,0.801,0.753,0.763,0.6,0.75,
UCSB-IZC00030280,AW,1.123,1.217,1.191,1.151,1.094,1,1.25,
UCSB-IZC00034580,AW,0.821,0.825,0.85,0.867,0.856,0.6,0.75,
UCSB-IZC00035217,AW,3.943,4.117,4.127,4.064,4.196,3.2,4,
UCSB-IZC00035271,AW,3.793,3.753,3.78,3.719,3.83,2.9,3.625,
UCSB-IZC00035381,AW,3.862,3.69,3.688,3.735,3.644,2.9,3.625,
UCSB-IZC00036629,AW,0.967,0.979,1.036,0.935,0.924,0.9,1.125,
UCSB-IZC00036678,AW,0.955,1.024,1.014,0.987,1.018,0.8,1,
UCSB-IZC00036938,AW,2.056,2.032,2.069,2.086,2.1,1.8,2.25,
UCSB-IZC00037058,AW,2.046,2.072,2.053,2.136,2.045,1.7,2.125,
UCSB-IZC00041542,AW,1.55,1.569,1.696,1.642,1.653,1.3,1.625,
UCSB-IZC00005866,ZW,2.592,2.589,2.445,2.527,3.672,1.7,2.125,hairy
UCSB-IZC00009088,ZW,7.022,6.54,6.84,6.642,7.317,5.5,6.875,hairy 
UCSB-IZC00009810,ZW,5.667,5.596,5.205,5.636,5.789,4,5,hairy
UCSB-IZC00009824,ZW,6.467,6.433,6.391,6.363,6.402,4.7,5.875,
UCSB-IZC00010359,ZW,3.589,3.361,3.667,3.648,3.426,2.5,3.125,
UCSB-IZC00015111,ZW,2.273,2.277,2.214,2.37,2.3,1.8,2.25,hairy
UCSB-IZC00015129,ZW,8.446,8.086,8.259,8.306,7.939,5.8,7.25,
UCSB-IZC00021945,ZW,1.168,1.192,1.194,1.207,1.186,1,1.25,
UCSB-IZC00028289,ZW,1.726,1.715,1.725,1.788,1.735,1.3,1.625,
UCSB-IZC00028380,ZW,2.845,2.623,2.829,2.65,2.705,2.3,2.875,hairy
UCSB-IZC00028511,ZW,2.94,2.923,2.953,3.082,3.01,2.1,2.625,
UCSB-IZC00030069,ZW,0.865,0.832,0.864,0.945,0.873,0.6,0.75,
UCSB-IZC00030280,ZW,1.188,1.208,1.2,1.195,1.227,0.9,1.125,
UCSB-IZC00034580,ZW,0.918,0.909,0.916,0.918,0.914,0.7,0.875,hairy
UCSB-IZC00035217,ZW,3.927,4.239,4.248,4.336,4.255,2.7,3.375,hairy
UCSB-IZC00035271,ZW,3.621,3.754,3.732,3.722,3.803,3.1,3.875,hairy
